,video_class
0,ApplyEyeMakeup
1,ApplyLipstick
2,Archery
3,BabyCrawling
4,BalanceBeam
5,BandMarching
6,BasketballDunk
7,BlowDryHair
8,BlowingCandles
9,BodyWeightSquats
10,Bowling
11,BoxingPunchingBag
12,BoxingSpeedBag
13,BreastStroke
14,BrushingTeeth
15,CleanAndJerk
16,CliffDiving
17,CricketBowling
18,CricketShot
19,CuttingInKitchen
20,Diving
21,Drumming
22,Fencing
23,FieldHockeyPenalty
24,FloorGymnastics
25,FrisbeeCatch
26,FrontCrawl
27,GolfSwing
28,Haircut
29,HammerThrow
30,Hammering
31,HandStandPushups
32,HandstandWalking
33,HeadMassage
34,HighJump
35,HorseRace
36,IceDancing
37,JumpRope
38,Kayaking
39,Knitting
40,LongJump
41,Lunges
42,MilitaryParade
43,Mixing
44,MoppingFloor
45,Nunchucks
46,ParallelBars
47,PizzaTossing
48,PlayingCello
49,PlayingDaf
50,PlayingDhol
51,PlayingFlute
52,PlayingGuitar
53,PlayingSitar
54,PommelHorse
55,PullUps
56,Punch
57,PushUps
58,Rafting
59,RockClimbingIndoor
60,RopeClimbing
61,Rowing
62,SalsaSpin
63,ShavingBeard
64,Shotput
65,SkateBoarding
66,SkyDiving
67,SoccerJuggling
68,SoccerPenalty
69,StillRings
70,SumoWrestling
71,Surfing
72,Swing
73,TableTennisShot
74,TaiChi
75,TennisSwing
76,ThrowDiscus
77,TrampolineJumping
78,Typing
79,UnevenBars
80,VolleyballSpiking
81,WalkingWithDog
82,WallPushups
83,WritingOnBoard
84,YoYo
